BIOID,,COUNTRY NAME,TIME SPECIFIC COUNTRY NAME,COUNTRY ID,COUNTRY TEXT ID,COW COUNTRY ID,FNAME_ORIG,LNAME_ORIG,FNAME,LNAME,FullName,GOVTWIT,GOVTWIT_ID,PTWIT ,PTWIT_ID,OTWIT,OTWIT_ID,OTWIT_TYPE,OTWIT_2,OTWIT_ID_2,OTWIT_TYPE_2,OTWIT_3,OTWIT_ID_3,OTWIT_TYPE_3,OTWIT_4,OTWIT_ID_4,OTWIT_TYPE_4,OTWIT_5,OTWIT_ID_5,OTWIT_TYPE_5,OTWIT_6,OTWIT_ID_6,OTWIT_TYPE_6,OFFICE1,OFFICE1_LEVEL,OFFICE1_CONSTITUENCYLEVEL1,OFFICE1_CONSTITUENCYLEVEL2,OFFICE1_CONSTITUENCYLEVEL3,OFFICE1_CONSTITUENCYLEVEL4,OFFICE1_CONSTITUENCYLEVEL5,OFFICE1_TERRITORIAL,OFFICE1_RESERVED,OFFICE1_ELECTORALSYSTEM,OFFICE1_MAGNITUDE,OFFICE1_CLOSEDLIST,OFFICE1_LISTNUM,OFFICE1_ROUND,OFFICE1_MAXROUNDS,OFFICE1_TERMLENGTH,OFFICE1_ELECTION RESULT PRIMARY,OFFICE1_ASSUMED OFFICE,OFFICE1_RESULT DISCREPANCY,OFFICE2,OFFICE2_LEVEL,OFFICE2_CONSTITUENCYLEVEL1,OFFICE2_CONSTITUENCYLEVEL2,OFFICE2_CONSTITUENCYLEVEL3,OFFICE2_CONSTITUENCYLEVEL4,OFFICE2_CONSTITUENCYLEVEL5,OFFICE2_TERRITORIAL,OFFICE2_RESERVED,OFFICE2_ELECTORALSYSTEM,OFFICE2_MAGNITUDE,OFFICE2_CLOSEDLIST,OFFICE2_LISTNUM,OFFICE2_ROUND,OFFICE2_MAXROUNDS,OFFICE2_TERMLENGTH,OFFICE2_ELECTION RESULT,OFFICE2_ASSUMED OFFICE,OFFICE2_RESULT DISCREPANCY,INDEPENDENT,"PARTY NAME, ENGLISH","PARTY NAME, ORIGINAL",PARTY SHORT NAME,NUMERIC PARTY IDENTIFIER,PARTY FACTS ID,CMPCODE,CHES PARTY CODE,GPS PARTY CODE,"LIST NAME, ORIGINAL",OFFICE1_INCUMBENT,OFFICE2_INCUMBENT,YEAR-START,MONTH-START,DAY-START,YEAR-END,MONTH-END,DAY-END,GENDER,BIRTHDATE,EDUCATION,EDUCATION DISCIPLINE,ETHNICITY/RACE ,IMMIGRANT ,COUNTRY OF BIRTH,CURRENT PROFESSION,PRE-POLITICAL PROFESSION,OFFICE1_LAST CANDIDATE,OFFICE2_LAST CANDIDATE,LAST NATIONAL LEGISLATIVE CANDIDATE,PRIOR NATIONAL LEGISLATIVE CANDIDATE COUNT,PRIOR NATIONAL LEGISLATIVE CANDIDATE COUNT COMPLETE,LAST NATIONAL EXECUTIVE CANDIDATE,PRIOR NATIONAL EXECUTIVE CANDIDATE COUNT,PRIOR NATIONAL EXECUTIVE CANDIDATE COUNT COMPLETE,PRIOR HIGH PUBLIC OFFICE NAME 1,PRIOR HIGH PUBLIC OFFICE NAME ENGLISH 1,PRIOR HIGH PUBLIC OFFICE TYPE 1,PRIOR HIGH PUBLIC OFFICE LEVEL 1,PRIOR HIGH PUBLIC OFFICE START 1,PRIOR HIGH PUBLIC OFFICE END 1,PRIOR HIGH PUBLIC OFFICE 2..N,OTHER POLITICAL EXPERIENCE ,FEC_ID,EDUCATION DISCIPLINE GRADUATE,ETHNICITY,VETERAN,MODIFIED,COMMENTS,OFFICE1_ELECTION_RESULT_GENERAL,334
540111,,United States of America,,,,,,,Scott,Fuller,Scott Fuller,,,,,,,,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,West Virginia,Congressional District 1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
540112,,United States of America,,,,,,,James Edwin,Houser,James Edwin Houser,,,,,,,,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,West Virginia,Congressional District 1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
540113,,United States of America,,,,,,,Zane,Lawhorn,Zane Lawhorn,,,,,,,,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,West Virginia,Congressional District 1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
540114,,United States of America,,,,,,,Carol,Miller,Carol Miller,RepCarolMiller,1081318716573470720,,,CarolMillerWV,841994444,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,West Virginia,Congressional District 1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
540115,,United States of America,,,,,,,Kent,Stevens,Kent Stevens,,,,,,,,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,West Virginia,Congressional District 1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
540116,,United States of America,,,,,,,Mr. Lacy,Watson,Mr. Lacy Watson,,,,,votelacy,3293413756,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,West Virginia,Congressional District 1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
540117,,United States of America,,,,,,,Belinda,Fox-Spencer,Belinda Fox-Spencer,,,,,bfoxspencer,1406276460,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,West Virginia,Congressional District 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Independent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
540121,,United States of America,,,,,,,Barry Lee,Wendell,Barry Lee Wendell,,,BarryLeeWendell,1482471007,VoteforBarry,1487953309638041601,2,Barry2Congress,1554559626598834177,2,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,West Virginia,Congressional District 2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,
540122,,United States of America,,,,,,,Angela J. ,Dwyer,Angela Dwyer,,,,,mrsangelataylor,257604410,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,West Virginia,Congressional District 2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
540123,,United States of America,,,,,,,Rhonda A. ,Hercules,Rhonda Hercules,,,,,RhondaHercules,1487541238719029251,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,West Virginia,Congressional District 2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
540124,,United States of America,,,,,,,David B. ,McKinley,David McKinley,RepMcKinley,240427862,,,McKinleyforWV,2493604807,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,West Virginia,Congressional District 2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
540125,,United States of America,,,,,,,Alexander X.,Mooney,Alexander Mooney,RepAlexMooney,2964526557,,,MooneyforWV,1491350114,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,West Virginia,Congressional District 2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
540126,,United States of America,,,,,,,Mike,Seckman,Mike Seckman,,,,,MikeSeckman,1469796320692998144,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,West Virginia,Congressional District 2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
540127,,United States of America,,,,,,,Susan ,Buchser-Lochocki,Susan  Buchser-Lochocki,,,s_buchser,782703803648925696,BuchserSusan ,1204361422240649217,2,,,,,,,,,,,,,,,,United States House of Representatitves,1,United States of America,West Virginia,Congressional District 2,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
