,BIOID,Unnamed: 1,COUNTRY NAME,TIME SPECIFIC COUNTRY NAME,COUNTRY ID,COUNTRY TEXT ID,COW COUNTRY ID,FNAME_ORIG,LNAME_ORIG,FNAME,LNAME,FullName,GOVTWIT,GOVTWIT_ID,PTWIT ,PTWIT_ID,OTWIT,OTWIT_ID,OTWIT_TYPE,OTWIT_2,OTWIT_ID_2,OTWIT_TYPE_2,OTWIT_3,OTWIT_ID_3,OTWIT_TYPE_3,OTWIT_4,OTWIT_ID_4,OTWIT_TYPE_4,OTWIT_5,OTWIT_ID_5,OTWIT_TYPE_5,OTWIT_6,OTWIT_ID_6,OTWIT_TYPE_6,OFFICE1,OFFICE1_LEVEL,OFFICE1_CONSTITUENCYLEVEL1,OFFICE1_CONSTITUENCYLEVEL2,OFFICE1_CONSTITUENCYLEVEL3,OFFICE1_CONSTITUENCYLEVEL4,OFFICE1_CONSTITUENCYLEVEL5,OFFICE1_TERRITORIAL,OFFICE1_RESERVED,OFFICE1_ELECTORALSYSTEM,OFFICE1_MAGNITUDE,OFFICE1_CLOSEDLIST,OFFICE1_LISTNUM,OFFICE1_ROUND,OFFICE1_MAXROUNDS,OFFICE1_TERMLENGTH,OFFICE1_ELECTION RESULT PRIMARY,OFFICE1_ASSUMED OFFICE,OFFICE1_RESULT DISCREPANCY,OFFICE2,OFFICE2_LEVEL,OFFICE2_CONSTITUENCYLEVEL1,OFFICE2_CONSTITUENCYLEVEL2,OFFICE2_CONSTITUENCYLEVEL3,OFFICE2_CONSTITUENCYLEVEL4,OFFICE2_CONSTITUENCYLEVEL5,OFFICE2_TERRITORIAL,OFFICE2_RESERVED,OFFICE2_ELECTORALSYSTEM,OFFICE2_MAGNITUDE,OFFICE2_CLOSEDLIST,OFFICE2_LISTNUM,OFFICE2_ROUND,OFFICE2_MAXROUNDS,OFFICE2_TERMLENGTH,OFFICE2_ELECTION RESULT,OFFICE2_ASSUMED OFFICE,OFFICE2_RESULT DISCREPANCY,INDEPENDENT,"PARTY NAME, ENGLISH","PARTY NAME, ORIGINAL",PARTY SHORT NAME,NUMERIC PARTY IDENTIFIER,PARTY FACTS ID,CMPCODE,CHES PARTY CODE,GPS PARTY CODE,"LIST NAME, ORIGINAL",OFFICE1_INCUMBENT,OFFICE2_INCUMBENT,YEAR-START,MONTH-START,DAY-START,YEAR-END,MONTH-END,DAY-END,GENDER,BIRTHDATE,EDUCATION,EDUCATION DISCIPLINE,ETHNICITY/RACE ,IMMIGRANT ,COUNTRY OF BIRTH,CURRENT PROFESSION,PRE-POLITICAL PROFESSION,OFFICE1_LAST CANDIDATE,OFFICE2_LAST CANDIDATE,LAST NATIONAL LEGISLATIVE CANDIDATE,PRIOR NATIONAL LEGISLATIVE CANDIDATE COUNT,PRIOR NATIONAL LEGISLATIVE CANDIDATE COUNT COMPLETE,LAST NATIONAL EXECUTIVE CANDIDATE,PRIOR NATIONAL EXECUTIVE CANDIDATE COUNT,PRIOR NATIONAL EXECUTIVE CANDIDATE COUNT COMPLETE,PRIOR HIGH PUBLIC OFFICE NAME 1,PRIOR HIGH PUBLIC OFFICE NAME ENGLISH 1,PRIOR HIGH PUBLIC OFFICE TYPE 1,PRIOR HIGH PUBLIC OFFICE LEVEL 1,PRIOR HIGH PUBLIC OFFICE START 1,PRIOR HIGH PUBLIC OFFICE END 1,PRIOR HIGH PUBLIC OFFICE 2..N,OTHER POLITICAL EXPERIENCE ,FEC_ID,EDUCATION DISCIPLINE GRADUATE,ETHNICITY,VETERAN,MODIFIED,COMMENTS,OFFICE1_ELECTION_RESULT_GENERAL,334,state_abb
308,10202,,United States of America,,,,,Katie,Britt,Katie,Britt,Katie  Britt,,,,,KatieBrittforAL,1400915708259696640,2,,,,,,,,,,,,,,,,U.S. Senate,1,United States of America,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,S2AL00145,,,,0,,1,1,AL
417,202012,,United States of America,,,,,Lisa,Murkowski,Lisa,Murkowski,Lisa Murkowski,lisamurkowski,18061669,,,LisaForSenate,151247615,2,,,,,,,,,,,,,,,,U.S. Senate,1,United States of America,Alaska,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,S4AK00099,,,,0,,1,1,AK
479,40206,,United States of America,,,,,Mark,Kelly,Mark,Kelly,Mark Kelly,SenMarkKelly,1324926274888888320,,,CaptMarkKelly,65707359,2,,,,,,,,,,,,,,,,U.S. Senate,1,United States of America,Arizona,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,S0AZ00350,,,,0,,1,1,AZ
551,50206,,United States of America,,,,,John,Boozman,John,Boozman,John  Boozman,JohnBoozman,5558312,,,Boozman4AR,111671288,2,SenateAgGop,3006258669,3,,,,,,,,,,,,,U.S. Senate,1,United States of America,Arkansas,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,1,AR
589,60203,,United Statess of America,,,,,Alex,Padilla,Alex,Padilla,Alex Padilla,SenAlexPadilla,1351236267707654145,,,AlexPadilla4CA,82489457,2,,,,,,,,,,,,,,,,U.S. Senate,1,United States of America,California,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,S2CA00955,,,,0,,1,1,CA
690,80201,,United States of America,,,,,Michael,Bennet,Michael,Bennet,Michael Bennet,SenatorBennet,224285242,,,MichaelBennet,45645232,2,,,,,,,,,,,,,,,,US Senate,1,United States of America,Colorado,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,S0CO00211,,,,0,,1,1,CO
745,90201,,United States of America,,,,,Richard,Blumenthal,Richard,Blumenthal,Richard Blumenthal,SenBlumenthal,278124059,,,DickBlumenthal,102477372,2,,,,,,,,,,,,,,,,U.S. Senate,1,United States of America,Connecticut,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,S0CT00177,,,,0,,1,1,CT
842,1202010,,United States of America,,,,,Marco,Rubio,Marco,Rubio,Marco Rubio,SenRubioPress,229966028,marcorubio,15745368,TeamMarco,3001665106,2,,,,,,,,,,,,,,,,U.S. Senate,1,United States of America,Florida,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Republican,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,S0FL00338,,,,0,,1,1,FL
963,130208,,United States of America,,,,,Raphael,Warnock,Raphael,Warnock,Raphael Warnock,SenatorWarnock,1352287997853622273,RaphaelWarnock,234412394,ReverendWarnock,1221242033530195970,2,,,,,,,,,,,,,,,,U.S. Senate,1,United States of America,Georgia,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,S0GA00559,,,,1,,1,1,GA
1011,150209,,United States of America,,,,,Brian,Schatz,Brian,Schatz,Brian Schatz,SenBrianSchatz,1262099252,brianschatz,47747074,SchatzforHawaii,1284467173,2,,,,,,,,,,,,,,,,U.S. Senate,1,United States of America,Hawaii,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,0,Democrat,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,S4HI00136,,,,0,,1,1,HI
