,last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,contact_form,rss_url,twitter,twitter_id,facebook,youtube,youtube_id,mastodon,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
0,Brown,Sherrod,,,,Sherrod Brown,1952-11-09,M,sen,OH,,1,Democrat,https://www.brown.senate.gov,503 Hart Senate Office Building Washington DC 20510,202-224-2315,https://www.brown.senate.gov/contact/,http://www.brown.senate.gov/rss/feeds/?type=all&amp;,SenSherrodBrown,43910797,SenatorSherrodBrown,SherrodBrownOhio,UCgy8jfERh-t_ixkKKoCmglQ,,B000944,00136,N00003535,S307,"H2OH13033,S6OH00163",5051,400050,27018,Sherrod Brown,,29389,Sherrod Brown
1,Cantwell,Maria,,,,Maria Cantwell,1958-10-13,F,sen,WA,,1,Democrat,https://www.cantwell.senate.gov,511 Hart Senate Office Building Washington DC 20510,202-224-3441,https://www.cantwell.senate.gov/public/index.cfm/email-maria,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,SenatorCantwell,117501995,senatorcantwell,SenatorCantwell,UCN52UDqKgvHRk39ncySrIMw,,C000127,00172,N00007836,S275,"S8WA00194,H2WA01054",26137,300018,27122,Maria Cantwell,,39310,Maria Cantwell
2,Cardin,Benjamin,L.,,,Benjamin L. Cardin,1943-10-05,M,sen,MD,,1,Democrat,https://www.cardin.senate.gov,509 Hart Senate Office Building Washington DC 20510,202-224-4524,https://www.cardin.senate.gov/contact/,http://www.cardin.senate.gov/rss/feeds/?type=all,SenatorCardin,109071031,senatorbencardin,senatorcardin,UCiQaJnMzlfzzG3VESgyZChA,,C000141,00174,N00001955,S308,"H6MD03177,S6MD03177",4004,400064,26888,Ben Cardin,,15408,Ben Cardin
3,Carper,Thomas,Richard,,,Thomas R. Carper,1947-01-23,M,sen,DE,,1,Democrat,https://www.carper.senate.gov,513 Hart Senate Office Building Washington DC 20510,202-224-2441,https://www.carper.senate.gov/contact/,http://www.carper.senate.gov/public/index.cfm/rss/feed,SenatorCarper,249787913,tomcarper,senatorcarper,UCgLnvbKwu4B3navofj6Qvvw,,C000174,00179,N00012508,S277,S8DE00079,663,300019,22421,Tom Carper,,15015,Tom Carper
4,Casey,Robert,P.,Jr.,Bob,"Robert P. Casey, Jr.",1960-04-13,M,sen,PA,,1,Democrat,https://www.casey.senate.gov,393 Russell Senate Office Building Washington DC 20510,202-224-6324,https://www.casey.senate.gov/contact,http://www.casey.senate.gov/rss/feeds/?all,SenBobCasey,171598736,SenatorBobCasey,SenatorBobCasey,UCtVssXhx-KuZa-hSvnsnJ0A,,C001070,01828,N00027503,S309,S6PA00217,47036,412246,2541,"Bob Casey, Jr.",,40703,Bob Casey Jr.
5,Feinstein,Dianne,,,,Dianne Feinstein,1933-06-22,F,sen,CA,,1,Democrat,https://www.feinstein.senate.gov,331 Hart Senate Office Building Washington DC 20510,202-224-3841,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,http://www.feinstein.senate.gov/public/?a=rss.feed,SenFeinstein,476256944,senatorfeinstein,SenatorFeinstein,UCtVC--6LR0ff2aOP8THpuEw,,F000062,01332,N00007364,S221,S0CA00199,13061,300043,53273,Dianne Feinstein,,49300,Dianne Feinstein
6,Klobuchar,Amy,Jean,,,Amy Klobuchar,1960-05-25,F,sen,MN,,1,Democrat,https://www.klobuchar.senate.gov,425 Dirksen Senate Office Building Washington DC 20510,202-224-3244,https://www.klobuchar.senate.gov/public/index.cfm/contact,,SenAmyKlobuchar,22044727,,senatorklobuchar,UCvdeJsDsV51tFb_hVqvtYGA,,K000367,01826,N00027500,S311,S6MN00267,83701,412242,65092,Amy Klobuchar,,40700,Amy Klobuchar
7,Menendez,Robert,,,Bob,Robert Menendez,1954-01-01,M,sen,NJ,,1,Democrat,https://www.menendez.senate.gov,528 Hart Senate Office Building Washington DC 20510,202-224-4744,https://www.menendez.senate.gov/contact,http://www.menendez.senate.gov/rss/feeds/index.cfm?type=news,SenatorMenendez,18695134,senatormenendez,SenatorMenendezNJ,UC0PV0K9Z5a9p3D5917KF5fw,,M000639,00791,N00000699,S306,"H2NJ13075,S6NJ00289",29608,400272,26961,Bob Menendez,,29373,Bob Menendez
8,Sanders,Bernard,,,Bernie,Bernard Sanders,1941-09-08,M,sen,VT,,1,Independent,https://www.sanders.senate.gov,332 Dirksen Senate Office Building Washington DC 20510,202-224-5141,https://www.sanders.senate.gov/contact/,http://www.sanders.senate.gov/rss/,SenSanders,29442313,senatorsanders,senatorsanders,UCD_DaKNac0Ta-2PeHuoQ1uA,,S000033,01010,N00000528,S313,"H8VT01016,S4VT00033",994,400357,27110,Bernie Sanders,,29147,Bernie Sanders
9,Stabenow,Debbie,Ann,,,Debbie Stabenow,1950-04-29,F,sen,MI,,1,Democrat,https://www.stabenow.senate.gov,731 Hart Senate Office Building Washington DC 20510,202-224-4822,https://www.stabenow.senate.gov/contact,http://stabenow.senate.gov/rss/?p=news,SenStabenow,76456274,SenatorStabenow,senatorstabenow,UCFoDKCvxSwCUfDv-4Eg4K5A,,S000770,01531,N00004118,S284,"S8MI00281,H6MI08163",45451,300093,515,Debbie Stabenow,,29732,Debbie Stabenow
